ServiceApprovalNumber,ServiceName,ProviderApprovalNumber,ServiceType,ServiceAddress,Suburb,Postcode,Phone,Fax,Email Address,NumberOfApprovedPlaces,OverallRating,lat,lng,ProviderLegalName,state,country
SE-40002276,Shining Stars Family Day Care Services,PR-40001634,Family,"23, 28 Rutland Rd",BOX HILL,3128,0388923723,,marjan.habibi@shiningstarsfdc.com.au,,Not,-37.820094,145.125415,Marjan Habibi,Vic,Australia
SE-40007694,Paisley Park Early Learning Centre Box Hill,PR-40009215,Centre,84-86 Carrington Rd,BOX HILL,3128,1800724753,,peterr@paisleypark.com.au,42.0,NA,-37.8199521,145.1188982,Paisley Park Early Learning Centres (No.4) Pty Ltd ATF Paisley Park ELC (No.4) Unit Trust,Vic,Australia
SE-00002839,The Merrell Kindergarten,PR-00001947,Centre,92 Maud Street,BALWYN NORTH,3104,0398591259,0398591249,merrell@ecms.org.au,28.0,Exceeding,-37.7960184,145.0756767,Early Childhood Management Services Inc,Vic,Australia
SE-00002837,Bellevue Kindergarten,PR-00001355,Centre,49 Bulleen Road,BALWYN NORTH,3104,03 9859 6000,,bellevue.kin@kindergarten.vic.gov.au,52.0,Exceeding,-37.78809,145.07409,Bellevue Kindergarten Association Inc,Vic,Australia
SE-00002838,Boroondara Preschool,PR-00001373,Centre,24 Midvale Avenue,BALWYN NORTH,3104,03 9857 6159,03 9857 6159,boroondara.balwyn.north.kin@kindergarten.vic.gov.au,30.0,Meeting,-37.7863981,145.0873375,Boroondara Preschool Inc,Vic,Australia
SE-00004573,Red Apple Early Learning Centre Balwyn,PR-00002460,Centre,243 Doncaster Road,BALWYN NORTH,3104,03 9857 8199,03 9857 3811,director@redapplebalwyn.com,77.0,Exceeding,-37.792721,145.090121,R.J.T. & Associates Pty Ltd trading as Red Apple Early Learning Centre,Vic,Australia
SE-40007295,Boroondara Sports Complex Vacation Care Program,PR-00001946,Centre,271c Belmore Rd,BALWYN NORTH,3104,0398510444,,bsc@ymca.org.au,90.0,Meeting,-37.8033234,145.0870721,Victorian YMCA Community Programming Pty Ltd,Vic,Australia
SE-00005001,Camp Australia - St Bedes Primary School OSHC,PR-00002539,Centre,2 Marwal Avenue,BALWYN NORTH,3104,1300105343,,opsadmin@campaustralia.com.au,50.0,Meeting,-37.7941011,145.0708687,Camp Australia Pty Limited,Vic,Australia
SE-00005216,Camp Australia - Balwyn North Primary School OSHC,PR-00002539,Centre,Buchanan Avenue,BALWYN NORTH,3104,1300105343,,opsadmin@campaustralia.com.au,45.0,Meeting,-37.7982936,145.0769811,Camp Australia Pty Limited,Vic,Australia
SE-00005220,Camp Australia - Belle Vue Primary School OSHC,PR-00002539,Centre,20 Highview Road,BALWYN NORTH,3104,1300105343,03 9885 4703,oshc@campaustralia.com.au,40.0,Meeting,-37.7818117,145.0791016,Camp Australia Pty Limited,Vic,Australia
SE-00004984,Boroondara Park Primary OSHClub,PR-40004402,Centre,Almond Street,BALWYN NORTH,3104,0385649000,0385649001,jagvicsa@junioradventuresgroup.com.au,60.0,Exceeding,-37.7905414,145.087989,OSHCLUB PTY LTD,Vic,Australia
SE-00005620,Greythorn Primary OSHClub,PR-40004402,Centre,Reading Ave,BALWYN NORTH,3104,0385649000,0386779184,jagvicsa@junioradventuresgroup.com.au,66.0,Meeting,-37.8012094,145.0950955,OSHCLUB PTY LTD,Vic,Australia
SE-40005166,Team Holiday - Balwyn North,PR-40002234,Centre,Buchanan Ave,BALWYN NORTH,3104,0395320366,,sam@teamholiday.com.au,80.0,Meeting,-37.7982936,145.0769811,Team Holiday Pty Ltd ATF Team Holiday Trust,Vic,Australia
SE-40007660,Greythorn Early Childhood Centre,PR-00002026,Centre,"Balwyn Leisure Centre, 230 Balwyn Road",BALWYN NORTH,3104,0398578134,,info@greythornecc.org.au,40.0,NA,-37.8017113,145.0840301,Greythorn Early Childhood Centre Inc,Vic,Australia
SE-00002894,St Linus Kindergarten,PR-00001947,Centre,11 Delta Avenue,MERLYNSTON,3058,0393546276,0393109438,stlinus@ecms.org.au,28.0,Exceeding,-37.7209287,144.9613316,Early Childhood Management Services Inc,Vic,Australia
SE-00003002,Greenhills Preschool,PR-00001947,Centre,37 St Helena Road,GREENSBOROUGH,3088,0394343379,0394341730,greenhills.kin@kindergarten.vic.gov.au,30.0,Exceeding,-37.6995381,145.1128207,Early Childhood Management Services Inc,Vic,Australia
SE-00003003,Greensborough Preschool,PR-00001947,Centre,17-19 Ester Street,GREENSBOROUGH,3088,0394344645,0394342056,greensborough.kin@kindergarten.vic.gov.au,30.0,Exceeding,-37.7050421,145.0986904,Early Childhood Management Services Inc,Vic,Australia
SE-00002996,Abacus Child Care Centre,PR-40001112,Centre,3-5 William Street,GREENSBOROUGH,3088,0394347933,,compliance@affinityeducation.com.au,75.0,Exceeding,-37.703259,145.094403,Affinity Education Group Limited,Vic,Australia
SE-00003001,TRY Grace Park Preschool,PR-00001879,Centre,179 Nepean Street,GREENSBOROUGH,3088,0394356179,0394353082,gracepark@try.org.au,33.0,Exceeding,-37.713175,145.102963,TRY AUSTRALIA CHILDREN'S SERVICES,Vic,Australia
SE-00003000,Apollo Parkways Preschool,PR-00001316,Centre,31 Plenty River Drive,GREENSBOROUGH,3088,0394358752,0394358752,apollo.parkways.kin@kindergarten.vic.gov.au,30.0,Exceeding,-37.6954409,145.1050831,Apollo Parkways Preschool Inc,Vic,Australia
SE-00003004,Yandell Kindergarten,PR-00001930,Centre,37 St Helena Road,GREENSBOROUGH,3088,03 9435 9472,03 9435 9472,yandell.kin@kindergarten.vic.gov.au,30.0,Meeting,-37.6995381,145.1128207,Yandell Kindergarten Inc,Vic,Australia
SE-00003010,Wahroonga Preschool,PR-40002603,Centre,66 Wahroonga Crescent,GREENSBOROUGH,3088,0394346089,0394324920,wahroonga.kin@kindergarten.vic.gov.au,28.0,Exceeding,-37.69249,145.125323,WAHROONGA PRE SCHOOL INC,Vic,Australia
SE-00003011,Diamond Hills Preschool,PR-00001474,Centre,Diamond Hills Drive,GREENSBOROUGH,3088,03 9435 8694,03 9434 2907,diamond.hills.kin@kindergarten.vic.gov.au,30.0,Exceeding,-37.6878622,145.1137121,Diamond Hills Preschool Inc,Vic,Australia
SE-00003015,Joyce Avenue Childrens Centre,PR-00001342,Centre,1 Joyce Avenue,GREENSBOROUGH,3088,0394346098,0394351313,amy.heritage@banyule.vic.gov.au,39.0,Exceeding,-37.7015241,145.1075173,Banyule City Council,Vic,Australia
SE-00004735,Community Kids Haven Greensborough,PR-00002614,Centre,299 Plenty River Drive,GREENSBOROUGH,3088,03 9432 4033,,ckhccc.gb@gmail.com,68.0,Meeting,-37.6832925,145.1186721,Al-ishraaq Pty Ltd ATF Ahsan's Family Trust,Vic,Australia
SE-00005741,Camp Australia - Watsonia Heights Primary School OSHC,PR-00002539,Centre,61 Henry Street,GREENSBOROUGH,3088,1300105343,,opsadmin@campaustralia.com.au,46.0,Meeting,-37.7160884,145.1012114,Camp Australia Pty Limited,Vic,Australia
SE-00006006,Camp Australia - St Marys School Greensborough OSHC,PR-00002539,Centre,210 Grimshaw Street,GREENSBOROUGH,3088,1300105343,03 8080 5982,oshc@campaustralia.com.au,110.0,Meeting,-37.70293,145.09253,Camp Australia Pty Limited,Vic,Australia
SE-00005351,Greensborough OSHClub,PR-40004402,Centre,130 Grimshaw Street,GREENSBOROUGH,3088,0394351496,0386779184,jagvicsa@junioradventuresgroup.com.au,35.0,Exceeding,-37.7040986,145.0998614,OSHCLUB PTY LTD,Vic,Australia
SE-00005359,St Thomas Apostle OSHClub,PR-40004402,Centre,251 Diamond Creek Road,GREENSBOROUGH,3088,0385649000,0386779184,jagvicsa@junioradventuresgroup.com.au,60.0,Exceeding,-37.6825674,145.1201183,OSHCLUB PTY LTD,Vic,Australia
SE-40006294,Team Holiday - Greensborough,PR-40002234,Centre,44 Civic Dr,GREENSBOROUGH,3088,0395320366,,info@teamholiday.com.au,60.0,Not,-37.6887156,145.111397,Team Holiday Pty Ltd ATF Team Holiday Trust,Vic,Australia
SE-00005241,Greenhills PS OSHC,PR-00002714,Centre,8 Mine Street,GREENSBOROUGH,3088,0394322139,,greenhills@world4kids.net,105.0,Exceeding,-37.6938705,145.1186776,Greenhills Primary School Council,Vic,Australia
SE-00005970,Apollo Parkways P.S. OSHC,PR-00003010,Centre,31-43 Civic Drive,GREENSBOROUGH,3088,03 9433 1341,03 9432 2478,slirosi@hotmail.com,140.0,Not,-37.6870982,145.1082151,Apollo Parkways P.S,Vic,Australia
SE-00011327,Wallaby Early Learning Centre Greensborough,PR-00006547,Centre,45 Civic Drive,GREENSBOROUGH,3088,0394324655,,greensborough@wallabychildcare.com.au,87.0,Meeting,-37.6883616,145.1111467,Wallaby Childcare Greensborough PTY LTD ATF Wallaby Childcare Greensborough Trust,Vic,Australia
SE-40001077,Happy Campers Family Day Care,PR-40000982,Family,19 Palpera Tce,GREENSBOROUGH,3088,0407704115,,rebecca@happycampersfdc.com.au,,Meeting,-37.682733,145.105236,HAPPY CAMPERS FAMILY DAY CARE PTY LTD ATF BECWILL FAMILY TRUST,Vic,Australia
SE-00003009,Delta Road Preschool,PR-00001947,Centre,15 Delta Road,WATSONIA,3087,0394341113,,deltaroad@ecms.org.au,29.0,Meeting,-37.7170478,145.0911871,Early Childhood Management Services Inc,Vic,Australia
SE-00003005,Watsonia North Preschool,PR-00001903,Centre,68 Macorna Street,WATSONIA,3087,03 9434 1998,03 9434 1998,watsonia.north.kin@kindergarten.vic.gov.au,30.0,Exceeding,-37.6975766,145.0852424,Watsonia North Preschool Inc,Vic,Australia
SE-00003006,Watsonia Preschool,PR-00001904,Centre,19 Crellin Crescent,WATSONIA,3087,03 9434 4767,03 9434 4767,watsonia.kin@kindergarten.vic.gov.au,29.0,Meeting,-37.7083982,145.0842034,Watsonia Preschool Assoc Inc,Vic,Australia
SE-00005324,Concord School/Watsonia Primary School OSHC - Extend,PR-00002530,Centre,"Concord Junior Campus, Meagher Street",WATSONIA,3087,1300105343,,enquiries@extend.com.au,56.0,Meeting,-37.7064069,145.0862375,Extend (Australia) Pty Ltd,Vic,Australia
SE-00005198,Watsonia North Primary School Out of School Hours Program,PR-00002701,Centre,16 Sharpes Road,WATSONIA,3087,0394323213,0394343138,watts.jennifer.k@edumail.vic.gov.au,90.0,Exceeding,-37.700437,145.0811148,Watsonia North Primary School,Vic,Australia
SE-00003022,Doncaster Park Kindergarten,PR-00001947,Centre,18 Studley Street,DONCASTER,3108,0398576774,0398576774,doncasterpark@ecms.org.au,30.0,Exceeding,-37.7819022,145.1132708,Early Childhood Management Services Inc,Vic,Australia
SE-00003044,Doncaster Early Learning Child Care,PR-00002171,Centre,20 Turana Street,DONCASTER,3108,0398402857,,julieye@tpg.com.au,45.0,Exceeding,-37.781856,145.132241,Sepwin Pty.Ltd,Vic,Australia
SE-00004206,Mykidz Early Learning Centre,PR-00002481,Centre,97 High Street,DONCASTER,3108,03 9857 8204,,taghreed_rasoul@hotmail.com,49.0,Meeting,-37.781422,145.110644,Mykidz Early Learning Centre Pty Ltd,Vic,Australia
SE-00004231,Wonderland Childcare & Kinder,PR-00002281,Centre,6 High Street,DONCASTER,3108,0398578123,0398578789,wcck@bigpond.net.au,77.0,Meeting,-37.7873599,145.1054716,Wonderland Childcare and Kindergarten Pty Ltd,Vic,Australia
SE-00005128,Camp Australia - Doncaster Primary School OSHC,PR-00002539,Centre,2-12 Council Street,DONCASTER,3108,1300105343,,opsadmin@campaustralia.com.au,70.0,Meeting,-37.7859772,145.1297605,Camp Australia Pty Limited,Vic,Australia
SE-00005137,Camp Australia - St Gregory the Great School OSHC,PR-00002539,Centre,396 Manningham Road,DONCASTER,3108,1300105343,03 8080 6407,oshc@campaustralia.com.au,49.0,Meeting,-37.7768293,145.1192105,Camp Australia Pty Limited,Vic,Australia
SE-00005828,Camp Australia - Birralee Primary School OSHC,PR-00002539,Centre,Heyington Avenue,DONCASTER,3108,1300105343,03 9348 1273,oshc@campaustralia.com.au,50.0,Meeting,-37.7934124,145.1131293,Camp Australia Pty Limited,Vic,Australia
SE-40004539,Team Holiday - Doncaster,PR-40002234,Centre,"Birralle Primary School, 8-26 Heyington Ave",DONCASTER,3108,0395320366,,sam@teamholiday.com.au,60.0,Meeting,-37.793397,145.113326,Team Holiday Pty Ltd ATF Team Holiday Trust,Vic,Australia
SE-00011940,Doncaster Kindergarten,PR-00001477,Centre,"Suite 11A, Manningham City Square MC2, 687 Doncaster Rd",DONCASTER,3108,03 9848 3727,,doncaster.kin@kindergarten.vic.gov.au,27.0,Meeting,-37.7871147,145.1313821,Doncaster Kindergarten Association Inc,Vic,Australia
SE-00011941,Early Years at MC Square,PR-00001653,Centre,687 Doncaster Road,DONCASTER,3108,03 9840 9255,03 9840 9476,manningham@manningham.vic.gov.au,38.0,Meeting,-37.7870472,145.1312894,Manningham City Council,Vic,Australia
SE-40002346,Kids R Creative Family Day Care,PR-40001441,Family,U 710  95 Tram Rd,DONCASTER,3108,,,haniali62@hotmail.com,,Meeting,-37.7886318,145.1247737,Kids R Creative Family Day Care Pty Ltd,Vic,Australia
SE-00003031,Yarra Valley Preschool,PR-00001947,Centre,34 Hakea Street,TEMPLESTOWE,3106,0398461836,0398465240,yarravalley@ecms.org.au,26.0,Meeting,-37.7574084,145.1337681,Early Childhood Management Services Inc,Vic,Australia
SE-00004032,Aloha Gardens Early Learning & Kinder,PR-40002206,Centre,14 Aloha Gardens,TEMPLESTOWE,3106,98417400,,director@alohagardenselc.com.au,60.0,Meeting,-37.762706,145.1567485,Baker Street Childcare Education Pty Ltd,Vic,Australia
SE-00003030,Templestowe Preschool,PR-00002149,Centre,3 Swilk Street,TEMPLESTOWE,3106,0398462867,0398462867,templestowe.kin@kindergarten.vic.gov.au,29.0,Meeting,-37.7564714,145.1242302,Child & Family Care Network,Vic,Australia
SE-00003032,Nonis Nursery,PR-00002126,Centre,1 Hillcroft Drive,TEMPLESTOWE,3106,03 9846 3592,03 9846 6522,nonis.nursery@gmail.com,26.0,Meeting,-37.770441,145.140628,Ali & Ali Australia Pty Ltd,Vic,Australia
SE-00003048,Imagine Childcare and Kindergarten Templestowe,PR-40005923,Centre,1 Niland Rise,TEMPLESTOWE,3106,0398463425,,templestowe@imagineelc.vic.edu.au,50.0,Meeting,-37.753833,145.141134,Imagine Education Early Learning Centres Pty Ltd as Trustee for The Imagine Education Early Learning Centres Unit Trust,Vic,Australia
SE-00004073,Cuddly Bear Child Care,PR-00002089,Centre,8 Swilk Street,TEMPLESTOWE,3106,03 9846 4011,03 9846 8316,cuddlybear1999@hotmail.com,55.0,Meeting,-37.7566774,145.1247763,Cuddly Bear Child Care Pty Ltd,Vic,Australia
SE-00005111,Camp Australia - Templestowe Park Primary School OSHC,PR-00002539,Centre,399 Church Road,TEMPLESTOWE,3106,1300105343,03 8080 6407,oshc@campaustralia.com.au,65.0,Meeting,-37.755941,145.1433259,Camp Australia Pty Limited,Vic,Australia
SE-00005130,Camp Australia - Serpell Primary School OSHC,PR-00002539,Centre,Tuckers Road,TEMPLESTOWE,3106,1300105343,03 8080 6407,oshc@campaustralia.com.au,115.0,Exceeding,-37.7706621,145.1556626,Camp Australia Pty Limited,Vic,Australia
SE-40001480,Youth Leadership Victoria - St Charles Borromeo Catholic Primary School OSHC,PR-00002783,Centre,230 - 234 Serpells Rd,TEMPLESTOWE,3106,87906511,,rita@ylv.com.au,40.0,Not,-37.7674613,145.1542911,Youth Leadership Victoria Inc,Vic,Australia
SE-00003038,Templestowe Valley Preschool,PR-00001947,Centre,3 Birchwood Avenue,TEMPLESTOWE LOWER,3107,0398508424,0398509572,templestowevalley@ecms.org.au,50.0,Meeting,-37.76046,145.1090526,Early Childhood Management Services Inc,Vic,Australia
SE-00011329,Lower Templestowe Preschool,PR-00001947,Centre,107 Swanston Street,TEMPLESTOWE LOWER,3107,98506142,98506142,lowertemplestowe@ecms.org.au,30.0,Meeting,-37.7619336,145.0984259,Early Childhood Management Services Inc,Vic,Australia
SE-00003034,Templestowe Heights Preschool,PR-00001852,Centre,64 Fyfe Drive,TEMPLESTOWE LOWER,3107,0398505915,,templestowe.heights.kin@kindergarten.vic.gov.au,30.0,Meeting,-37.7696989,145.1225436,Templestowe Heights Preschool Association Inc,Vic,Australia
SE-00003035,Twin Hills Preschool,PR-00001882,Centre,39 Mayfair Avenue,TEMPLESTOWE LOWER,3107,03 9850 8157,03 9852 4116,twin.hills.kin@kindergarten.vic.gov.au,29.0,Meeting,-37.766098,145.115083,Twin Hills Preschool Inc,Vic,Australia
SE-00004004,Templestowe World of Learning,PR-00000754,Centre,247-249 High Street,TEMPLESTOWE LOWER,3107,0398509777,,templestowe@worldoflearning.com.au,60.0,Meeting,-37.769085,145.117475,Ramsay Bourne Acquisitions (No.1) Pty Limited,Vic,Australia
SE-00004045,Total Care for Kids,PR-00002055,Centre,271 Thompsons Road,TEMPLESTOWE LOWER,3107,03 9852 4099,03 9850 2357,totalcareforkids@gmail.com,45.0,Meeting,-37.766749,145.105441,TCFK Pty Ltd on behalf of The Daniel Family Trust,Vic,Australia
SE-00005117,Camp Australia - Templestowe Heights Primary School OSHC,PR-00002539,Centre,High Street,TEMPLESTOWE LOWER,3107,1300105343,,opsadmin@campaustralia.com.au,45.0,Meeting,-37.7676706,145.1187548,Camp Australia Pty Limited,Vic,Australia
SE-40001361,Youth Leadership - St Kevins Catholic Primary School OSHC,PR-00002783,Centre,26 - 44 Herlihys Rd,TEMPLESTOWE LOWER,3107,98504609,98488156,rita@ylv.com.au,24.0,Exceeding,-37.7615724,145.1230596,Youth Leadership Victoria Inc,Vic,Australia
SE-40004537,Team Holiday - Templestowe Heights,PR-40002234,Centre,"Templestowe Heights Primary School, 276 - 300 High Street",TEMPLESTOWE LOWER,3107,0395320366,,sam@teamholiday.com.au,60.0,Meeting,-37.766487,145.11984,Team Holiday Pty Ltd ATF Team Holiday Trust,Vic,Australia
SE-00006001,Templestowe Valley Primary School - OSHC,PR-00003029,Centre,15 Birchwood Avenue,TEMPLESTOWE LOWER,3107,03 8850 5777,03 9850 8996,oshc@tempvalprimary.vic.edu.au,50.0,Meeting,-37.7600504,145.1098607,Templestowe Valley Primary School Council,Vic,Australia
SE-00003209,Yallambie Park Pre-school,PR-00001947,Centre,311 Yallambie Rd,YALLAMBIE,3085,0394359469,0394351827,yallambie.park.kin@kindergarten.vic.gov.au,56.0,Exceeding,-37.7267307,145.1039347,Early Childhood Management Services Inc,Vic,Australia
SE-00005355,Camp Australia - Streeton Primary School OSHC,PR-00002539,Centre,Yallambie Road,YALLAMBIE,3085,1300105343,,oshc@campaustralia.com.au,60.0,Exceeding,-37.7208686,145.0934418,Camp Australia Pty Limited,Vic,Australia
SE-00003211,Interlaken Kindergarten,PR-00001947,Centre,19 Interlaken Parade,ROSANNA,3084,0394581148,0394585215,interlaken@ecms.org.au,48.0,Meeting,-37.7355116,145.074875,Early Childhood Management Services Inc,Vic,Australia
SE-00003212,Rosanna Village Child Care Centre,PR-40003256,Centre,32 Turnham Avenue,ROSANNA,3084,03 9457 2930,03 9457 7133,rvchildcare@westnet.com.au,63.0,Exceeding,-37.7438549,145.0671043,ROSANNA VILLAGE CHILD CARE CENTRE PTY. LTD.,Vic,Australia
SE-00004622,Goodstart Early Learning Rosanna,PR-00001129,Centre,93-97 Banyule Road,ROSANNA,3084,03 9459 3051,03 9459 3046,byp@goodstart.org.au,100.0,Meeting,-37.7424911,145.0820922,Goodstart Early Learning Ltd,Vic,Australia
SE-00004904,Rosanna OSHClub,PR-40004402,Centre,Grandview Grove,ROSANNA,3084,0385649000,0386779184,jagvicsa@junioradventuresgroup.com.au,42.0,Meeting,-37.7358334,145.0626853,OSHCLUB PTY LTD,Vic,Australia
SE-00005520,Banyule OSHClub,PR-40004402,Centre,Banyule Road,ROSANNA,3084,0385649000,0386779184,jagvicsa@junioradventuresgroup.com.au,75.0,Meeting,-37.7422668,145.0781711,OSHCLUB PTY LTD,Vic,Australia
